product_id,product_name,category,subcategory,brand,list_price,unit_cost,supplier_lead_time_days,active_flag
P0022,UrbanNest Decor Item 22,Home,Decor,UrbanNest,147.59,109.16,13,Y
P0023,Aster Decor Item 23,Home,Decor,Everly,129.3,91.19,8,Y
P0024,Northline Decor Item 24,Home,Decor,Northline,16.24,8.09,7,Y
P0025,Luma Storage Item 25,Home,Storage,Vera,111.14,71.68,21,Y
P0026,Vera Storage Item 26,Home,Storage,CoreFlex,83.69,62.24,12,Y
P0027,Vera Storage Item 27,Home,Storage,Summit,82.86,55.24,7,Y
P0028,UrbanNest Storage Item 28,Home,Storage,Everly,149.26,100.65,21,Y
P0029,Vera Bedding Item 29,Home,Bedding,Everly,147.34,78.17,22,Y
P0030,Northline Bedding Item 30,Home,Bedding,Luma,108.96,81.4,14,Y
P0031,Vera Bedding Item 31,Home,Bedding,Northline,109.1,75.58,17,Y
P0032,Vera Bedding Item 32,Home,Bedding,,99.77,46.41,19,Y
P0033,Northline Tops Item 33,Apparel,Tops,Northline,23.59,12.65,21,Y
P0034,UrbanNest Tops Item 34,Apparel,Tops,Luma,32.71,16.84,8,Y
P0035,Northline Tops Item 35,Apparel,Tops,CoreFlex,89.95,66.64,23,Y
P0036,Aster Tops Item 36,Apparel,Tops,Summit,27.85,19.51,5,Y
P0037,Everly Bottoms Item 37,Apparel,Bottoms,UrbanNest,74.92,40.01,11,Y
P0038,UrbanNest Bottoms Item 38,Apparel,Bottoms,CoreFlex,24.77,12.04,9,Y
P0039,Summit Bottoms Item 39,Apparel,Bottoms,Aster,37.53,25.98,9,Y
P0040,Aster Bottoms Item 40,Apparel,Bottoms,Everly,24.53,14.74,9,Y
P0041,Summit Outerwear Item 41,Apparel,Outerwear,Northline,114.43,78.99,7,Y
P0042,Summit Outerwear Item 42,Apparel,Outerwear,UrbanNest,114.15,82.37,17,Y
P0043,Northline Outerwear Item 43,Apparel,Outerwear,Northline,81.83,46.28,6,Y
P0044,UrbanNest Outerwear Item 44,Apparel,Outerwear,Aster,54.83,31.55,8,Y
P0045,Everly Shoes Item 45,Apparel,Shoes,Luma,119.05,81.3,9,Y
P0046,Aster Shoes Item 46,Apparel,Shoes,CoreFlex,43.82,26.25,17,Y
P0047,Everly Shoes Item 47,Apparel,Shoes,Summit,110.54,81.25,23,Y
P0048,Everly Shoes Item 48,Apparel,Shoes,Aster,80.24,58.89,11,Y
P0049,Northline Skincare Item 49,Beauty,accessories,Luma,45.32,25.17,16,Y
P0050,Vera Skincare Item 50,Beauty,Skincare,Northline,44.09,25.09,6,Y
P0051,Aster Skincare Item 51,Beauty,Skincare,UrbanNest,39.65,29.11,8,Y
P0052,CoreFlex Skincare Item 52,Beauty,Skincare,Vera,66.41,36.46,17,Y
P0053,UrbanNest Haircare Item 53,Beauty,Haircare,Summit,19.4,13.07,21,Y
P0054,Everly Haircare Item 54,Beauty,Haircare,CoreFlex,88.23,48.25,15,Y
P0055,Aster Haircare Item 55,Beauty,Haircare,UrbanNest,23.3,12.54,7,Y
P0056,Everly Haircare Item 56,Beauty,Haircare,Northline,81.22,51.66,8,Y
P0057,Aster Fragrance Item 57,Beauty,Fragrance,Aster,87.95,58.0,5,Y
P0058,UrbanNest Fragrance Item 58,Beauty,Fragrance,Luma,16.1,9.26,6,Y
P0059,Luma Fragrance Item 59,Beauty,Fragrance,Aster,42.9,25.49,15,Y
P0060,Aster Fragrance Item 60,Beauty,Fragrance,UrbanNest,77.07,44.27,20,Y
P0061,Northline Makeup Item 61,Beauty,Makeup,Northline,83.05,55.47,23,Y
P0062,Everly Makeup Item 62,Beauty,Makeup,Northline,58.49,38.11,12,Y
P0063,CoreFlex Makeup Item 63,Beauty,Makeup,CoreFlex,34.62,25.63,21,Y
P0064,Summit Makeup Item 64,Beauty,Makeup,Northline,66.33,32.56,10,Y
P0065,Luma Equipment Item 65,Fitness,Equipment,Summit,107.59,62.97,14,Y
P0066,Northline Equipment Item 66,Fitness,Equipment,CoreFlex,61.32,36.04,6,Y
P0067,CoreFlex Equipment Item 67,Fitness,Equipment,Everly,40.49,20.06,12,Y
P0068,Vera Equipment Item 68,Fitness,Equipment,Vera,175.7,110.79,9,Y
P0069,Aster Accessories Item 69,Fitness,Accessories,CoreFlex,76.96,55.28,17,Y
P0070,Aster Accessories Item 70,Fitness,Accessories,Northline,45.12,25.41,8,Y
P0071,Luma Accessories Item 71,Fitness,Accessories,CoreFlex,97.52,61.97,6,Y
P0072,UrbanNest Accessories Item 72,Fitness,Accessories,Northline,101.87,62.1,10,Y
P0073,Northline Recovery Item 73,Fitness,Recovery,CoreFlex,71.53,36.73,16,Y
P0074,CoreFlex Recovery Item 74,Fitness,Recovery,Northline,96.73,60.48,19,Y
P0075,Everly Recovery Item 75,Fitness,Recovery,Vera,123.35,76.63,17,Y
P0076,CoreFlex Recovery Item 76,Fitness,Recovery,CoreFlex,98.05,69.15,13,Y
P0077,Summit Supplements Item 77,Fitness,Supplements,Luma,83.66,61.98,10,N
P0078,UrbanNest Supplements Item 78,Fitness,Supplements,Summit,105.61,62.62,9,Y
P0079,Everly Supplements Item 79,Fitness,Supplements,CoreFlex,38.37,24.3,9,Y
P0080,Northline Supplements Item 80,Fitness,Supplements,Summit,92.68,56.96,6,Y
